Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.010367,-4.8905E-08,0.032724,0,0,0,0.7864,0.00089549,-1.7657E-09,6.0141E-05,0.0015207,6.3216E-10,0.0017142,0,0,0,0,0,0,package://arm_new/meshes/base_link.STL,0.7451,0.7451,0.7451,1,0,0,0,0,0,0,package://arm_new/meshes/base_link.STL,,base-1,Coordinate System3 <base-1>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.016587,-4.9988E-05,-0.18666,0,0,0,0.12176,7.3849E-05,-1.5322E-11,3.0283E-05,9.5654E-05,2.3554E-11,5.1643E-05,0,0,0,0,0,0,package://arm_new/meshes/Link1.STL,0.7451,0.7451,0.7451,1,0,0,0,0,0,0,package://arm_new/meshes/Link1.STL,,link1-1,Coordinate System1 <link1-1>,Axis1,Joint1,revolute,0.037707,-5E-05,0.29937,0,0,-3.1416,base_link,0,0,-1,0,0,0,6.28,,,,,,,,
Link2,-0.00054103,5.5678E-05,0.041539,0,0,0,0.16406,0.00021226,-4.936E-09,-1.389E-06,0.00017369,3.7944E-07,7.7824E-05,0,0,0,0,0,0,package://arm_new/meshes/Link2.STL,0.7451,0.7451,0.7451,1,0,0,0,0,0,0,package://arm_new/meshes/Link2.STL,,link2-1,Coordinate System1 <link2-1>,Axis2,Joint2,revolute,0,-5E-05,-0.1582,0,0,3.1416,Link1,0,1,0,0,0,0,6.28,,,,,,,,
Link3,0.0029219,-6.8536E-05,0.033181,0,0,0,0.13328,0.00010361,-2.6695E-08,-3.1074E-06,8.3611E-05,-3.0309E-07,6.3714E-05,0,0,0,0,0,0,package://arm_new/meshes/Link3.STL,0.7451,0.7451,0.7451,1,0,0,0,0,0,0,package://arm_new/meshes/Link3.STL,,link3-1,Coordinate System1 <link3-1>,Axis3,Joint3,revolute,0,-5E-05,0.087,0,0,0,Link2,0,1,0,0,0,0,6.28,,,,,,,,
Link4,-6.93889390390723E-18,1.60733060162403E-13,0.0230502436889771,0,0,0,0.0616446065967099,2.35629768781271E-05,2.06327010680198E-10,4.93789336541773E-22,2.16264848632999E-05,-2.66653461902765E-16,1.4527300665041E-05,0,0,0,0,0,0,package://arm_new/meshes/Link4.STL,0.745098039215686,0.745098039215686,0.745098039215686,1,0,0,0,0,0,0,package://arm_new/meshes/Link4.STL,,link4-1,Coordinate System1 <link4-1>,Axis4,Joint4,revolute,0,0,0.0712,0,0,-3.1416,Link3,0,0,1,0,0,0,6.28,,,,,,,,
Link5,-0.00540369889878293,0.000111388474332554,0.0298563406822311,0,0,0,0.082003985184141,4.25538356064228E-05,-4.93618679407722E-08,3.44134827995119E-06,3.79923819156701E-05,2.72721651106619E-07,3.14025133057499E-05,0,0,0,0,0,0,package://arm_new/meshes/Link5.STL,0.745098039215686,0.745098039215686,0.745098039215686,1,0,0,0,0,0,0,package://arm_new/meshes/Link5.STL,,link5-1,Coordinate System1 <link5-1>,Axis5,Joint5,revolute,0,0,0.0415,0,0,3.1416,Link4,0,1,0,0,0,0,6.28,,,,,,,,
EE,0.042146146986961,-4.95936236896049E-09,0.0778740689030945,0,0,0,1.07322722870269,0.00185339937127512,-5.12364747030885E-09,-5.92986358897838E-05,0.00219441701048786,-3.14292637714027E-10,0.00211751149042562,0,0,0,0,0,0,package://arm_new/meshes/EE.STL,0.745098039215686,0.745098039215686,0.745098039215686,1,0,0,0,0,0,0,package://arm_new/meshes/EE.STL,,EE-1,Coordinate System1 <EE-1>,Axis6,Joint6,revolute,0,0,0.05975,0,0,0,Link5,0,0,1,0,0,0,6.28,,,,,,,,
