Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0103670441692716,-4.89047614708055E-08,-0.0507763781520769,0,0,0,0.78639641308392,0.000895494113504485,-1.7656978596969E-09,6.0141491552568E-05,0.00152065890412314,6.32161180918768E-10,0.00171422853342945,0,0,0,0,0,0,package://new_arm/meshes/base_link.STL,0.745098039215686,0.745098039215686,0.745098039215686,1,0,0,0,0,0,0,package://new_arm/meshes/base_link.STL,,base-1,Coordinate System9,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.0211197744268822,-1.16994804486573E-08,0.0292101272338449,0,0,0,0.121759656689666,7.38485956533475E-05,-1.53219791509635E-11,-3.02831795140831E-05,9.56535793858089E-05,-2.3553581794951E-11,5.1643210241122E-05,0,0,0,0,0,0,package://new_arm/meshes/link_1.STL,0.745098039215686,0.745098039215686,0.745098039215686,1,0,0,0,0,0,0,package://new_arm/meshes/link_1.STL,,link1-1,Coordinate System9,Axis1,joint_1,revolute,0,0,0,0,0,0,base_link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link_2,-0.000541025630608628,5.56776925486378E-05,0.0415387428466069,0,0,0,0.164059961594958,0.00021226381686105,-4.93600634781873E-09,-1.38904365806391E-06,0.00017369357579552,3.79435727355565E-07,7.7824356818603E-05,0,0,0,0,0,0,package://new_arm/meshes/link_2.STL,0.745098039215686,0.745098039215686,0.745098039215686,1,0,0,0,0,0,0,package://new_arm/meshes/link_2.STL,,link2-1,Coordinate System10,Axis2,joint_2,revolute,0.037707,0,0.057666,0,0,0,link_1,0,1,0,0,0,-3.14,3.14,,,,,,,,
link_3,0.00292187305386705,-6.85363283402404E-05,0.0331811677846475,0,0,0,0.133281294923395,0.000103614550294055,-2.66954052688121E-08,-3.10738396849019E-06,8.3610745728922E-05,-3.03094614458102E-07,6.37142105116064E-05,0,0,0,0,0,0,package://new_arm/meshes/link_3.STL,0.745098039215686,0.745098039215686,0.745098039215686,1,0,0,0,0,0,0,package://new_arm/meshes/link_3.STL,,link3-1,Coordinate System11,Axis3,joint_3,revolute,0,-5E-05,0.087,0,0,0,link_2,0,1,0,0,0,-3.14,3.14,,,,,,,,
link_4,6.93889390390723E-18,-1.6073686164627E-13,0.0230502436889772,0,0,0,0.0616446065967099,2.35629768781271E-05,2.06327010683005E-10,-5.89431985267144E-22,2.16264848632999E-05,2.66653773448299E-16,1.4527300665041E-05,0,0,0,0,0,0,package://new_arm/meshes/link_4.STL,0.745098039215686,0.745098039215686,0.745098039215686,1,0,0,0,0,0,0,package://new_arm/meshes/link_4.STL,,link4-1,Coordinate System12,Axis4,joint_4,revolute,0,0,0.0712,0,0,0,link_3,0,0,1,0,0,-3.14,3.14,,,,,,,,
link_5,-0.00540369889878292,0.000111388474332554,0.0298563406822311,0,0,0,0.082003985184141,4.25538356064228E-05,-4.93618679407707E-08,3.44134827995119E-06,3.79923819156701E-05,2.72721651106619E-07,3.14025133057499E-05,0,0,0,0,0,0,package://new_arm/meshes/link_5.STL,0.745098039215686,0.745098039215686,0.745098039215686,1,0,0,0,0,0,0,package://new_arm/meshes/link_5.STL,,link5-1,Coordinate System13,Axis5,joint_5,revolute,0,0,0.0415,0,0,0,link_4,0,1,0,0,0,-3.14,3.14,,,,,,,,
EE_link,0.042146146986961,-4.95936236902825E-09,0.0778740689030945,0,0,0,1.07322722870269,0.00185339937127512,-5.12364747031248E-09,-5.92986358897838E-05,0.00219441701048786,-3.14292637718647E-10,0.00211751149042562,0,0,0,0,0,0,package://new_arm/meshes/EE_link.STL,0.745098039215686,0.745098039215686,0.745098039215686,1,0,0,0,0,0,0,package://new_arm/meshes/EE_link.STL,,EE-1,Coordinate System14,Axis6,joint_6,revolute,0,0,0.05975,0,0,0,link_5,0,0,1,0,0,-3.14,3.14,,,,,,,,
